---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| title                                                                                                                   | description                                                                                                                                                                                | author                              | date |
| "A framework for design knowledge management and reuse for Product-Service Systems in construction machinery industry." | "mdate: 2012-06-02, key: journals/cii/ZhangHXZ12pages: 328-337;volume: 63;journal: Computers in Industry;number: 4;ee: http://dx.doi.org/10.1016/j.compind.2012.02.008;"                   | "Yuchun Xu"                         | 2012 |
| "A framework for design knowledge management and reuse for Product-Service Systems in construction machinery industry." | "mdate: 2012-06-02, key: journals/cii/ZhangHXZ12pages: 328-337;volume: 63;journal: Computers in Industry;number: 4;ee: http://dx.doi.org/10.1016/j.compind.2012.02.008;"                   | "Dachao Hu"                         | 2012 |
| "A framework for design knowledge management and reuse for Product-Service Systems in construction machinery industry." | "mdate: 2012-06-02, key: journals/cii/ZhangHXZ12pages: 328-337;volume: 63;journal: Computers in Industry;number: 4;ee: http://dx.doi.org/10.1016/j.compind.2012.02.008;"                   | "Dongmin Zhang"                     | 2012 |
| "A framework for design knowledge management and reuse for Product-Service Systems in construction machinery industry." | "mdate: 2012-06-02, key: journals/cii/ZhangHXZ12pages: 328-337;volume: 63;journal: Computers in Industry;number: 4;ee: http://dx.doi.org/10.1016/j.compind.2012.02.008;"                   | "Hong Zhang"                        | 2012 |
| "Time-of-Flight camera based 3D point cloud reconstruction of a car."                                                   | "mdate: 2013-12-18, key: journals/cii/HoeggLK13pages: 1099-1114;volume: 64;journal: Computers in Industry;number: 9;ee: http://dx.doi.org/10.1016/j.compind.2013.06.002;"                  | "Damien Lefloch"                    | 2013 |
| "Time-of-Flight camera based 3D point cloud reconstruction of a car."                                                   | "mdate: 2013-12-18, key: journals/cii/HoeggLK13pages: 1099-1114;volume: 64;journal: Computers in Industry;number: 9;ee: http://dx.doi.org/10.1016/j.compind.2013.06.002;"                  | "Andreas Kolb"                      | 2013 |
| "Time-of-Flight camera based 3D point cloud reconstruction of a car."                                                   | "mdate: 2013-12-18, key: journals/cii/HoeggLK13pages: 1099-1114;volume: 64;journal: Computers in Industry;number: 9;ee: http://dx.doi.org/10.1016/j.compind.2013.06.002;"                  | "Thomas Hoegg"                      | 2013 |
| "Compositional construction of most general controllers."                                                               | "mdate: 2015-06-08, key: journals/acta/0001BK15pages: 443-482;volume: 52;journal: Acta Inf.;number: 4-5;ee: http://dx.doi.org/10.1007/s00236-015-0239-9;"                                  | "Sascha Klüppelholz"                | 2015 |
| "Compositional construction of most general controllers."                                                               | "mdate: 2015-06-08, key: journals/acta/0001BK15pages: 443-482;volume: 52;journal: Acta Inf.;number: 4-5;ee: http://dx.doi.org/10.1007/s00236-015-0239-9;"                                  | "Christel Baier"                    | 2015 |
| "Compositional construction of most general controllers."                                                               | "mdate: 2015-06-08, key: journals/acta/0001BK15pages: 443-482;volume: 52;journal: Acta Inf.;number: 4-5;ee: http://dx.doi.org/10.1007/s00236-015-0239-9;"                                  | "Joachim Klein 0001"                | 2015 |
